record_type,model,task_id,indicator_id,run_index,candidate_evidence,quoted_text_span,confidence_level,error,n_runs,n_success,quote_stability,evidence_stability,confidence_stability,unique_quotes,unique_evidence,unique_confidence,mean_quote_stability,mean_evidence_stability,mean_confidence_stability,overall_stability,variability_label,status,mode
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,0,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,1,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,2,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,3,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,4,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,5,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,6,Fabricated governance control cited. [stability variant 4],This sentence does not appear in the municipal document. (run 0),low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,7,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,8,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,9,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,10,Fabricated governance control cited. [stability variant 3],This sentence does not appear in the municipal document. (run 1),low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,11,Fabricated governance control cited. [stability variant 4],This sentence does not appear in the municipal document. (run 2),low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,12,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,13,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,14,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,15,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,16,Fabricated governance control cited. [stability variant 4],This sentence does not appear in the municipal document. (run 1),high,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,17,Fabricated governance control cited. [stability variant 1],This sentence does not appear in the municipal document.,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,18,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d2_oversight,d2_oversight_design_01,19,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,0,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,1,Fabricated governance control cited. [stability variant 1],This sentence does not appear in the municipal document.,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,2,Fabricated governance control cited. [stability variant 3],This sentence does not appear in the municipal document. (run 2),low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,3,Fabricated governance control cited.,This sentence does not appear in the municipal document.,low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,4,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,5,Fabricated governance control cited.,This sentence does not appear in the municipal document.,medium,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,6,Fabricated governance control cited. [stability variant 2],This sentence does not appear in the municipal document. (run 0),low,,,,,,,,,,,,,,,,
run,llama3.1:8b,gov_sample_d4_sovereignty,d4_data_sovereignty_01,7,Fabricated governance control cited. [stability variant 4],This sentence does not appear in the municipal document. (run 1),medium,,,,,,,,,,,,,,,,
